Province,Total,LiveWithSpouseAndChildren,LiveWithSpouse,LiveWithChild,LiveAloneWithNanny,LiveAloneWithoutNanny,PensionAgency,Other
Unit,人,人,人,人,人,人,人,人
Remark,各地区分性别、居住状况的60岁及以上老年人口,,,,,,,,
全国,25523101,5900248,11154108,4229595,46243,3011811,185511,995585
北京,428002,128572,173235,66966,2632,36915,3799,15883
天津,276745,57101,147427,31501,474,29106,1746,9390
河北,1441053,284865,747003,198833,2288,164598,7855,35611
山西,641115,105071,346201,75872,1255,89874,3186,19656
内蒙古,458505,54046,272660,56232,945,57643,3591,13388
辽宁,1053493,175760,568614,132529,2245,133924,7744,32677
吉林,508469,81977,270165,78956,1080,61243,5610,9438
黑龙江,676647,104501,351544,95505,1416,88979,6334,28368
上海,569165,156020,252742,72141,1845,55682,11159,19576
江苏,1768129,418538,822604,257633,2360,200513,12344,54137
浙江,1176613,281365,539714,153453,2920,152257,12545,34359
安徽,1115044,179514,551768,154845,1386,172272,10793,44466
福建,635334,190497,226823,117303,1446,75370,3277,20618
江西,761001,205333,288322,140118,1168,80868,5833,39359
山东,2068666,275581,1197814,232671,3270,295383,13129,50818
河南,1707479,452152,687284,298586,2321,183390,12367,71379
湖北,1181529,290715,486018,198528,1884,139345,8994,56045
湖南,1305917,323878,507007,242701,2455,154209,7189,68478
广东,1443501,542522,370895,319962,3473,130524,7570,68555
广西,794598,257009,215774,196860,936,85721,2933,35365
海南,136158,50950,38503,29064,177,11168,446,5850
重庆,693072,143298,291259,118959,1050,92851,6759,38896
四川,1817836,385708,742439,332904,2691,231783,15858,106453
贵州,575342,144003,210259,131548,665,60283,2127,26457
云南,692031,232476,189778,186534,919,56286,2145,23893
西藏,28527,11195,2412,10022,20,1216,451,3211
陕西,714762,168046,307374,123107,1302,81574,4454,28905
甘肃,410723,100652,160665,88428,410,43111,1204,16253
青海,69612,21280,20416,18744,108,5863,399,2802
宁夏,96276,14667,53582,14125,151,10446,523,2782
新疆,277757,62956,113807,54965,951,29414,3147,12517
