Province,Region,零售业法人单位,零售业从业人数,国有控股法人单位,国有控股从业人数
Unit,,个,人,个,人
Remark,3-1-5各地区限额以上零售业企业基本情况
全国,NationalTotal,107761,6392395,5148,724042
北京,Beijing,2569,247016,355,53707
天津,Tianjin,1055,71528,149,14209
河北,Hebei,2753,254528,127,34295
山西,Shanxi,2440,134422,148,19533
内蒙古,InnerMongolia,1042,71490,63,18002
辽宁,Liaoning,2197,159796,125,28222
吉林,Jilin,1162,78287,105,14352
黑龙江,Heilongjiang,1295,84999,106,10841
上海,Shanghai,2828,375931,395,58990
江苏,Jiangsu,9946,498272,291,33318
浙江,Zhejiang,6106,350549,459,28270
安徽,Anhui,5087,248711,132,23937
福建,Fujian,7275,302786,207,26373
江西,Jiangxi,3864,163093,88,13341
山东,Shandong,5803,412063,226,35559
河南,Henan,7047,369258,246,26326
湖北,Hubei,5170,287598,163,42302
湖南,Hunan,7217,305640,134,24195
广东,Guangdong,8749,671809,440,76683
广西,Guangxi,2697,134347,189,12933
海南,Hainan,434,35208,28,9839
重庆,Chongqing,3435,190411,113,22029
四川,Sichuan,5038,317221,172,26232
贵州,Guizhou,2365,104092,136,12664
云南,Yunnan,2332,130287,114,14015
西藏,Tibet,155,6663,25,2291
陕西,Shaanxi,4687,214228,218,19490
甘肃,Gansu,1066,65792,64,10810
青海,Qinghai,258,15287,20,1219
宁夏,Ningxia,292,21927,19,874
新疆,Xinjiang,1397,69156,91,9191
