Province,Region,住宿业法人单位,住宿业从业人数,国有控股法人单位,国有控股从业人数
Unit,,个,人,个,人
Remark,4-1-2各地区限额以上住宿业企业基本情况
全国,NationalTotal,25281,1666224,2924,404140
北京,Beijing,1164,96155,356,49222
天津,Tianjin,315,15546,52,5379
河北,Hebei,534,44102,118,13236
山西,Shanxi,445,33645,66,11007
内蒙古,InnerMongolia,311,18958,34,3510
辽宁,Liaoning,486,29972,65,8100
吉林,Jilin,197,14862,43,5417
黑龙江,Heilongjiang,181,12105,46,4491
上海,Shanghai,1104,71323,154,27432
江苏,Jiangsu,1362,96653,214,30884
浙江,Zhejiang,1735,136471,158,21146
安徽,Anhui,716,47037,49,9778
福建,Fujian,1211,86656,120,19244
江西,Jiangxi,798,41062,83,7952
山东,Shandong,1183,83481,153,27152
河南,Henan,1481,80440,105,12538
湖北,Hubei,934,47565,64,6403
湖南,Hunan,1102,65079,66,8664
广东,Guangdong,3003,213780,221,36656
广西,Guangxi,799,47993,62,9826
海南,Hainan,344,48686,46,6788
重庆,Chongqing,534,33973,53,7395
四川,Sichuan,1512,83015,111,13649
贵州,Guizhou,808,37691,85,7961
云南,Yunnan,771,48041,82,11063
西藏,Tibet,92,4816,21,1928
陕西,Shaanxi,1188,68974,98,15764
甘肃,Gansu,411,25072,70,7810
青海,Qinghai,122,5979,20,1640
宁夏,Ningxia,73,4550,8,1016
新疆,Xinjiang,365,22542,101,11089
