Province,FirstIndustry,SecondIndustry,ThirdIndustry,GDP
北京市,111.3,7268.6,32889.6,40269.6
天津市,225.4,5854.3,9615.4,15695.1
河北省,4030.3,16364.2,19996.7,40391.3
山西省,1286.9,11213.1,10090.2,22590.2
内蒙古自治区,2225.2,9374.2,8914.8,20514.2
辽宁省,2461.8,10875.2,14247.1,27584.1
吉林省,1553.8,4768.3,6913.4,13235.5
黑龙江省,3463,3975.3,7440.9,14879.2
上海市,100,11449.3,31665.6,43214.9
江苏省,4722.4,51775.4,59866.4,116364.2
浙江省,2209.1,31188.6,40118.1,73515.8
安徽省,3360.6,17613.2,21985.4,42959.2
福建省,2897.7,22866.3,23046.3,48810.4
江西省,2334.3,13183.2,14102.2,29619.7
山东省,6029,33187.2,43879.7,83095.9
河南省,5620.8,24331.7,28934.9,58887.4
湖北省,4661.7,18952.9,26398.4,50012.9
湖南省,4322.9,18126.1,23614.1,46063.1
广东省,5003.7,50219.2,69146.8,124369.7
广西壮族自治区,4015.5,8187.9,12537.5,24740.9
海南省,1254.4,1238.8,3982,6475.2
重庆市,1922,11184.9,14787.1,27894
四川省,5661.9,19901.4,28287.6,53850.8
贵州省,2730.9,6984.7,9870.8,19586.4
云南省,3870.2,9589.4,13687.2,27146.8
西藏自治区,164.1,757.3,1158.8,2080.2
陕西省,2409.4,13802.5,13589.1,29801
甘肃省,1364.7,3466.6,5412,10243.3
青海省,352.7,1332.6,1661.4,3346.6
宁夏回族自治区,364.5,2021.6,2136.3,4522.3
新疆维吾尔自治区,2356.1,5967.4,7660.2,15983.7
