Province,Total,Population
北京市,238221.33,2189
天津市,92767.36,1387
河北省,370249.8,7464
山西省,53583.56,3490
内蒙古自治区,19557.57,2403
辽宁省,111978.01,4255
吉林省,44693.65,2399
黑龙江省,45522.34,3171
上海市,336330.67,2488
江苏省,697680.5,8477
浙江省,1794621.13,6468
安徽省,220228.19,6105
福建省,343189.82,4161
江西省,112004.29,4519
山东省,415174.19,10165
河南省,310004.89,9941
湖北省,178505.52,5745
湖南省,147131.61,6645
广东省,2208179.5,12624
广西壮族自治区,77882.16,5019
海南省,11012.23,1012
重庆市,73105.4,3209
四川省,215158.85,8371
贵州省,28156.99,3858
云南省,62974.08,4722
西藏自治区,1138.97,366
陕西省,91749.81,3955
甘肃省,13823.52,2501
青海省,2359.54,593
宁夏回族自治区,7317.77,721
新疆维吾尔自治区,11486.17,2590
