Province,消费支出,食品烟酒支出(1),衣着支出(1),居住支出(1),生活用品及服务支出(1),交通通信支出(1),教育文化娱乐支出(1),医疗保健支出(1),其他用品及服务支出(1)
Unit,元/人,元/人,元/人,元/人,元/人,元/人,元/人,元/人,元/人
Remark,11-9 2020年分地区农村居民消费支出
全国,13713.4,4479.4,712.8,2962.4,767.5,1840.6,1308.7,1417.5,224.4
北京,20912.7,5968.1,1035.6,6453.1,1120.6,2924.4,1142.7,1972.8,295.4
天津,16844.1,5621.7,1002.2,3527.9,1026.1,2504.3,931.6,1858.2,372.1
河北,12644.2,3686.8,810.6,2711.1,782.9,1892.8,1154.6,1380.1,225.3
山西,10290.1,3247.6,720.9,2286.6,526,1145,967.4,1182.8,213.8
内蒙古,13593.7,4164.3,727.1,2632.6,583.5,2152.1,1436.5,1667,230.8
辽宁,12311.2,3660.3,698.6,2412.5,529.6,1946.4,1109.1,1718.7,236.1
吉林,11863.6,3730.5,716.4,1992.7,488.9,1899.2,1177.4,1568.5,289.8
黑龙江,12360,4243.7,858.6,2046.8,548.6,1680.9,1197.7,1562.9,220.8
上海,22095.5,8647.8,1077.5,4439.3,1325.2,3495.5,1003.1,1655.3,451.8
江苏,17021.7,5216.3,823,3785.6,957.7,2786.9,1448.4,1712.2,291.6
浙江,21555.4,6952.1,1043.1,5719.9,1225.5,2937.5,1776.3,1546.2,354.9
安徽,15023.5,5145.8,867.5,3390.5,855,1663.7,1422,1457.4,221.7
福建,16338.9,6273.9,754.5,3943,874,1688.3,1232,1270.9,302.1
江西,13579.4,4557.1,602.6,3553.8,686.6,1402.6,1477.6,1136.7,162.4
山东,12660.4,3721.9,689,2434.7,817.9,2112,1290.8,1413.4,180.7
河南,12201.1,3396.7,873.1,2770.1,783.2,1501.8,1285.6,1379.1,211.4
湖北,14472.5,4304.5,780.4,3197.6,790.9,2175.3,1382.3,1558.5,283
湖南,14974,4635.9,674.4,3367,853,1730.5,1783.8,1706.6,222.6
广东,17132.3,6991.8,506.9,3829.2,803.2,1958.1,1275.5,1517.9,249.8
广西,12431.1,4296.9,354.2,2659.2,667,1681.8,1408.2,1227.8,136.1
海南,13169.3,5766.2,362.1,2529.2,573.8,1412.4,1244.9,1077.3,203.5
重庆,14139.5,5183.1,736.3,2630.9,919.1,1591.5,1290.3,1560.1,228.3
四川,14952.6,5478.1,753.3,2866.4,905.4,1935,1106.5,1650.3,257.6
贵州,10817.6,3214.3,595.7,2337.3,603.9,1543.2,1377.8,959.4,185.9
云南,11069.5,3797.1,451.7,2115.4,569.9,1691.7,1324.2,980.6,138.8
西藏,8917.1,3369,708,1908.6,474.6,1386.2,380.1,402.5,288.2
陕西,11375.7,3182.6,609.6,2715.4,688.1,1460.9,1057.4,1490.7,170.9
甘肃,9922.9,3065.4,608.1,1905.8,588.8,1234.4,1211.4,1140.4,168.6
青海,12134.2,3664.7,823,2154.9,628.5,2146.7,989.2,1416,311.2
宁夏,11724.3,3331.1,656,2197.5,626.4,2022.4,1179.6,1478,233.3
新疆,10778.2,3473.3,713.3,2255.4,612.6,1344.2,1230.4,955,193.9
