Province,Total,985,211,DoubleTop,Pure985,Pure211,PureDoubleTop,PureUniversity
北京市,92,8,26,34,8,18,8,58
江苏省,168,2,11,16,2,9,5,152
上海市,64,4,10,15,4,6,5,49
广东省,160,2,4,8,2,2,4,152
四川省,134,2,5,8,2,3,3,126
陕西省,97,3,8,8,3,5,0,89
湖北省,130,2,7,7,2,5,0,123
天津市,56,2,4,5,2,2,1,51
湖南省,130,3,4,5,3,1,1,125
辽宁省,114,2,4,4,2,2,0,110
黑龙江省,78,1,4,4,1,3,0,74
吉林省,66,1,3,3,1,2,0,63
浙江省,109,1,1,3,1,0,2,106
安徽省,121,1,3,3,1,2,0,118
山东省,153,2,3,3,2,1,0,150
山西省,82,0,1,2,0,1,1,80
福建省,89,1,2,2,1,1,0,87
江西省,106,0,1,1,0,1,0,105
河南省,156,0,1,2,0,1,1,154
重庆市,70,1,2,2,1,1,0,68
新疆维吾尔自治区,55,0,2,2,0,2,0,53
河北省,124,0,1,1,0,1,0,123
内蒙古自治区,54,0,1,1,0,1,0,53
广西壮族自治区,85,0,1,1,0,1,0,84
海南省,21,0,1,1,0,1,0,20
贵州省,75,0,1,1,0,1,0,74
云南省,82,0,1,1,0,1,0,81
西藏自治区,7,0,1,1,0,1,0,6
甘肃省,49,1,1,1,1,0,0,48
青海省,12,0,1,1,0,1,0,11
宁夏回族自治区,20,0,1,1,0,1,0,19
